Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric,73.5,30.0,180.0,top
C10,100nF,C_1206_3216Metric,58.8,33.475,-90.0,top
C11,100nF,C_1206_3216Metric,61.2,33.475,-90.0,top
C12,22pF,C_1206_3216Metric,72.0,33.5,90.0,top
C13,1uF,C_1206_3216Metric,21.0,16.5,90.0,top
C14,18pF,C_1206_3216Metric,18.75,36.825,-90.0,top
C15,10nF,C_1206_3216Metric,33.0,16.5,-90.0,top
C16,1uF,C_1206_3216Metric,38.5,36.0,90.0,top
C17,100nF,C_1206_3216Metric,57.25,22.5,180.0,top
C18,1nF,C_1206_3216Metric,61.5,26.25,-90.0,top
C19,100nF,C_1206_3216Metric,57.25,25.0,180.0,top
C2,100nF,C_1206_3216Metric,66.25,11.75,-90.0,top
C20,10uF,C_1206_3216Metric,36.0,36.0,90.0,top
C21,1nF,C_1206_3216Metric,78.0,16.5,90.0,top
C22,100nF,C_1206_3216Metric,80.5,16.5,90.0,top
C23,1nF,C_1206_3216Metric,75.75,24.75,-90.0,top
C24,100nF,C_1206_3216Metric,73.5,24.75,-90.0,top
C25,10uF,C_1206_3216Metric,52.6125,32.1625,180.0,top
C26,100nF,C_1206_3216Metric,52.6375,34.5125,180.0,top
C27,10uF,C_1206_3216Metric,42.15,26.0,0.0,top
C28,1uF,C_1206_3216Metric,42.15,33.5,0.0,top
C29,10uF,C_1206_3216Metric,42.15,28.5,0.0,top
C3,10uF,C_1206_3216Metric,22.75,24.25,180.0,top
C30,1uF,C_1206_3216Metric,42.15,31.0,0.0,top
C31,10uF,C_1206_3216Metric,23.5,9.75,90.0,top
C32,1uF,C_1206_3216Metric,54.25,10.0,180.0,top
C33,10uF,C_1206_3216Metric,57.25,3.0,90.0,top
C34,10uF,C_1206_3216Metric,53.75,3.0,90.0,top
C35,100nF,C_1206_3216Metric,54.25,12.5,180.0,top
C36,10uF,C_1206_3216Metric,29.5,46.5,-90.0,top
C37,10uF,C_1206_3216Metric,35.5,46.5,-90.0,top
C38,100nF,C_1206_3216Metric,54.25,15.0,180.0,top
C39,10uF,C_1206_3216Metric,18.0,46.5,-90.0,top
C4,10uF,C_1206_3216Metric,22.75,21.75,180.0,top
C40,10uF,C_1206_3216Metric,21.75,50.0,180.0,top
C41,22nF,C_1206_3216Metric,25.25,46.5,90.0,top
C42,10nF,C_1206_3216Metric,50.5,3.0,90.0,top
C43,10nF,C_1206_3216Metric,48.25,18.5,-90.0,top
C44,6800pF,C_1206_3216Metric,47.5,3.75,90.0,top
C45,10nF,C_1206_3216Metric,39.5,3.75,-90.0,top
C46,33nF,C_1206_3216Metric,44.0,3.75,90.0,top
C47,10nF,C_1206_3216Metric,43.75,18.5,-90.0,top
C48,10nF,C_1206_3216Metric,37.25,3.75,-90.0,top
C49,10nF,C_1206_3216Metric,39.25,11.75,90.0,top
C5,100nF,C_1206_3216Metric,69.5,33.5,-90.0,top
C6,18nF,C_1206_3216Metric,67.0,33.5,90.0,top
C7,18pF,C_1206_3216Metric,18.75,31.85,-90.0,top
C8,10nF,C_1206_3216Metric,22.75,26.75,0.0,top
C9,100nF,C_1206_3216Metric,68.75,11.75,-90.0,top
D1,BAV99,SOT-23,66.5,39.75,0.0,top
D2,LED,LED_0805_2012Metric,40.75,46.5,-90.0,top
D3,BAV99,SOT-23,31.0,10.25,180.0,top
D4,BAV99,SOT-23,27.0,10.25,0.0,top
FB1,ILHB1206ER750V,L_1206_3216Metric,66.0,16.5,-90.0,top
FB2,ILHB1206ER750V,L_1206_3216Metric,69.5,38.25,-90.0,top
FB3,ILHB1206ER750V,L_1206_3216Metric,68.5,16.5,-90.0,top
FB4,ILHB1206ER750V,L_1206_3216Metric,83.0,16.5,90.0,top
FB5,ILHB1206ER750V,L_1206_3216Metric,78.0,24.775,90.0,top
IC1,RT9193-18GB,SOT94P279X130-5N,21.75,46.5,0.0,top
IC2,AD8331ARQZ,SOP64P600X175-20N,67.25,24.75,-90.0,top
IC3,MCP4812-E_MS,MCP4812-EMS,56.45,28.875,0.0,top
J1,AMPHENOL_132357-11,AMPHENOL_132357-11_EXT,71.0,51.325,-90.0,top
J2,ZX62D-B-5PA8(30),ZX62DB5PA830,29.262,3.50625,0.0,top
J3,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.27,50.12,90.0,top
J4,90122-0126,PinSocket_2x06_P2.54mm_Horizontal,11.27,38.68,0.0,top
J5,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.27,27.25,90.0,top
J6,90122-0126,PinSocket_2x06_P2.54mm_Horizontal,11.27,15.82,0.0,top
J7,22-23-2021,PinHeader_1x02_P2.54mm_Vertical,11.27,4.39,90.0,top
R10,510R,R_1206_3216Metric,38.5,46.5,-90.0,top
R11,510R,R_1206_3216Metric,33.5,36.0,-90.0,top
R12,10K,R_1206_3216Metric,23.58,16.5375,-90.0,top
R13,10K,R_1206_3216Metric,26.0,16.5,-90.0,top
R14,10K,R_1206_3216Metric,28.33,16.5,-90.0,top
R15,10K,R_1206_3216Metric,30.58,16.5375,-90.0,top
R16,390R,R_1206_3216Metric,41.75,3.75,90.0,top
R2,10K,R_1206_3216Metric,75.5,16.5,90.0,top
R3,10K,R_1206_3216Metric,73.25,16.5,90.0,top
R4,100R,R_1206_3216Metric,63.75,16.5,-90.0,top
R5,10K,R_1206_3216Metric,61.25,16.5,90.0,top
R6,10K,R_1206_3216Metric,59.0,16.5,90.0,top
R7,280R,R_1206_3216Metric,64.75,33.5,-90.0,top
R8,100R,R_1206_3216Metric,71.0,16.5,-90.0,top
R9,12K,R_1206_3216Metric,57.25,20.25,180.0,top
U1,MD0100N8-G,SOT-89-3,71.0625,43.0,0.0,top
U2,msi2500,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,31.25,26.95,90.0,top
U3,AP7313-30SAG,SOT-23,32.5,48.75,90.0,top
U4,msi001,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,45.0,11.5,-90.0,top
Y1,Crystal_GND24,ECS2401833BCHNTR3,22.75,34.65,-90.0,top
